CODE,NUTS3,POPULATION,POP_DENS,POP_60,P_POP_60,P_MALES,POP 014,P_POP_0_14,POP 1529,P_POP_15_29,POP 3044,P_POP_30_44,POP 4559,P_POP_45_59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE_AREA,COVID19_D,COVID19_CCONF,DURATION_LD,LAG_LD,NO2,WIND,TEMP,NTI,PRESSURE,PRECIPITATION,SOLAR_RAD,LAI,PM25
FR,FR101,2141265,20334,479646,22.40012,46.94566,297869,13.91089,497195,23.21969,465642,21.74612,400913,18.72318,3,1123970,1373139,104.24,1807,15739,55,53,4.47732,3.98212,11.51634,63,1.05308,53.19387,11158.21004,0.29072,11.51634
FR,FR102,1425002,241,285105,20.00734,48.6219,297247,20.85941,264533,18.56369,287928,20.20545,290189,20.36411,3,554540,604082,5863.81,716,4951,55,53,4.83058,3.92066,10.43707,19.80692,1.03738,52.94251,11359.28259,0.8528,10.43707
FR,FR103,1438943,624,319840,22.22743,48.56468,289325,20.10677,253838,17.64059,280752,19.51099,295188,20.51422,1,575404,628815,2281.57,585,4967,55,53,4.12405,4.05641,10.57847,31.54464,1.03318,52.40087,11198.33192,1.23832,10.57847
FR,FR104,1318176,725,263904,20.02039,48.86259,274043,20.78956,252830,19.18029,264684,20.07956,262715,19.93019,4,515998,550398,1800.47,555,6030,55,53,3.77827,3.99997,10.76273,30.42771,1.04074,52.38871,11423.00706,0.80931,10.76273
FR,FR105,1608594,9165,325083,20.20914,47.59678,302193,18.78616,310947,19.33036,355413,22.09464,314958,19.57971,1,712669,789097,173.75,1114,8879,55,53,4.47732,4.0168,11.42189,62.45833,1.04714,53.57137,11171.19818,0.87589,11.42189
FR,FR106,1659325,7009,278804,16.80225,49.29052,373629,22.51693,330521,19.919,368450,22.20481,307921,18.557,5,633706,661868,234.33,1022,9042,55,53,4.47732,4.00461,11.32081,62.79167,1.05298,53.30691,11128.27515,0.55535,11.32081
FR,FR107,1398086,5713,284456,20.3461,48.08331,268753,19.22292,275790,19.72625,294563,21.06902,274524,19.6357,3,587482,625732,242.25,1230,8084,55,53,4.83058,3.99161,11.35972,61.74132,1.05078,53.19483,11224.91202,0.86162,11.35972
FR,FR108,1246853,996,236966,19.00513,48.42014,273613,21.94429,236582,18.97433,259926,20.84656,239766,19.22969,3,470828,497300,1238.97,730,5947,55,53,4.47732,4.01834,10.64316,36.64992,1.03642,53.87492,11067.07133,1.10453,10.64316
FR,FRF21,267392,51,78002,29.1714,48.59195,45556,17.03716,41299,15.44511,46221,17.28586,56314,21.06047,4,119412,141882,5184.2,60,259,55,53,4.1265,3.59211,9.62173,8.74046,0.98999,69.33107,10707.9288,1.08249,9.62173
FR,FRF22,309572,51,86729,28.01578,48.46401,55676,17.98483,52292,16.89171,54339,17.55294,60536,19.55474,1,140499,162917,5965.53,137,675,55,53,3.34235,3.46766,10.35771,7.49113,1.02463,60.04284,11419.47184,0.73965,10.35771
